(home),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Regions/Subregions/countries,(percent of population with access),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
World,76, 77, 78, 78, 79, 79, 80, 81, 81, 82, 83, 83, 84, 85, 85, 86, 86, 87, 87, 88, 88,
Developing countries,70, 71, 72, 73, 74, 74, 75, 76, 77, 78, 79, 80, 80, 81, 82, 83, 84, 84, 85, 86, 86,
Africa,56, 56, 57, 57, 58, 58, 59, 59, 60, 60, 61, 61, 62, 62, 63, 64, 64, 65, 65, 66, 66,
North Africa,87, 87, 88, 88, 88, 88, 88, 88, 89, 89, 89, 89, 91, 91, 91, 91, 91, 91, 92, 92, 92,
Algeria,94, 94, 94, 95, 94, 93, 92, 91, 91, 90, 89, 88, 88, 87, 86, 85, 85, 84, 83, 83, 83,
Egypt,93, 94, 94, 94, 94, 94, 95, 95, 96, 96, 96, 96, 97, 97, 97, 98, 98, 98, 99, 99, 99,
Libya,54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54,,,,,,,,,,
Morocco,73, 73, 74, 75, 75, 76, 76, 77, 77, 78, 78, 78, 79, 80, 80, 80, 81, 81, 82, 82, 83,
Tunisia,81, 82, 83, 84, 85, 86, 86, 88, 88, 89, 90, 91, 92, 92, 93, 94, 94, 94, 94, 94,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,
Sub Saharan Africa,49, 49, 50, 50, 51, 51, 52, 53, 53, 54, 55, 56, 56, 57, 58, 58, 59, 60, 60, 61, 61,
Angola,42, 42, 42, 42, 43, 43, 44, 44, 45, 45, 46, 46, 47, 47, 47, 48, 49, 50, 50, 51, 51,
Benin,57, 58, 59, 60, 61, 62, 63, 63, 65, 66, 66, 67, 68, 68, 69, 70, 71, 72, 73, 74, 75,
Botswana,93, 93, 94, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 95, 96, 96, 96, 96, 96, 96, 96,
Burkina Faso,43, 43, 45, 47, 49, 51, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 71, 73, 75, 77, 79,
Burundi,70, 70, 70, 70, 71, 71, 71, 71, 71, 72, 72, 72, 71, 72, 72, 72, 72, 72, 72, 72, 72,
Cameroon,49, 51, 52, 54, 56, 57, 58, 60, 61, 63, 64, 65, 67, 68, 70, 71, 73, 74, 75, 77, 77,
Cape Verde,,, 80, 80, 80, 80, 80, 82, 82, 82, 83, 83, 84, 84, 85, 85, 86, 86, 87, 87, 88,
Central African Republic,58, 58, 58, 59, 60, 60, 60, 61, 62, 62, 63, 63, 64, 64, 65, 65, 66, 66, 67, 67, 67,
Chad,39, 41, 41, 41, 42, 42, 43, 44, 44, 44, 45, 46, 46, 47, 47, 48, 49, 49, 50, 51, 51,
Comoros,87, 88, 88, 88, 89, 90, 90, 91, 91, 92, 92, 92, 93, 93, 94, 95, 95, 95, 95, 95, 95,
Congo,,,,,,,, 70, 70, 70, 70, 71, 71, 71, 71, 71, 71, 71, 71, 71, 71,
Cote d'Ivoire,76, 76, 76, 76, 77, 77, 77, 77, 77, 77, 77, 78, 78, 78, 79, 79, 79, 79, 79, 79, 80,
Democratic Republic of the Congo,45, 45, 45, 45, 45, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45,
Djibouti,78, 78, 78, 78, 78, 79, 79, 80, 81, 82, 82, 83, 84, 84, 85, 86, 87, 88, 88, 88, 88,
Equatorial Guinea,,,,, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51, 51,,,,,
Eritrea,43, 43, 43, 43, 45, 46, 47, 49, 50, 52, 54, 55, 57, 58, 60, 60, 60, 60, 61,,,
Ethiopia,14, 15, 15, 17, 19, 20, 22, 24, 25, 27, 29, 30, 32, 34, 35, 37, 39, 41, 42, 44, 44,
Gabon,,,,, 83, 84, 84, 85, 85, 85, 85, 86, 86, 86, 86, 86, 87, 87, 87, 87, 87,
Gambia,74, 76, 76, 77, 78, 79, 80, 81, 82, 82, 83, 84, 85, 86, 86, 87, 88, 88, 89, 89, 89,
Ghana,53, 55, 57, 59, 61, 62, 64, 66, 67, 69, 71, 73, 74, 75, 77, 79, 80, 81, 82, 84, 86,
Guinea,51, 53, 53, 55, 56, 58, 59, 60, 61, 62, 63, 64, 66, 67, 68, 69, 70, 71, 72, 74, 74,
Guinea-Bissau,36, 37, 38, 40, 41, 43, 45, 46, 48, 49, 50, 52, 53, 55, 56, 57, 59, 60, 62, 63, 64,
Kenya,44, 45, 45, 46, 47, 48, 49, 49, 50, 51, 52, 52, 53, 53, 54, 55, 56, 56, 57, 58, 59,
Lesotho,80, 80, 81, 81, 81, 80, 80, 80, 80, 79, 80, 80, 79, 79, 79, 78, 78, 78, 79, 78, 78,
Liberia,,,,, 58, 58, 58, 58, 59, 59, 61, 62, 63, 64, 65, 67, 68, 70, 71, 72, 73,
Madagascar,29, 29, 30, 32, 33, 33, 34, 35, 36, 37, 38, 39, 40, 40, 41, 42, 43, 44, 45, 46, 46,
Malawi,41, 43, 46, 48, 50, 52, 54, 57, 59, 61, 62, 64, 67, 69, 71, 73, 75, 77, 79, 80, 83,
Mali,28, 30, 32, 33, 35, 37, 39, 40, 42, 44, 46, 47, 49, 51, 53, 55, 57, 59, 60, 63, 64,
Mauritania,30, 31, 32, 34, 35, 36, 36, 37, 38, 39, 40, 42, 42, 43, 44, 45, 46, 47, 49, 50, 50,
Mauritius,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Mayotte,,,,,,,,,,,,,,,,,,,,,,
Mozambique,36, 36, 37, 37, 38, 38, 39, 40, 41, 41, 42, 42, 43, 44, 44, 45, 45, 46, 47, 47, 47,
Namibia,64, 66, 68, 69, 71, 73, 75, 76, 78, 79, 81, 82, 84, 85, 87, 88, 89, 91, 92, 93, 93,
Niger,35, 35, 36, 37, 37, 39, 39, 40, 40, 42, 42, 43, 44, 44, 45, 46, 47, 47, 49, 49, 49,
Nigeria,47, 48, 49, 50, 50, 50, 51, 52, 52, 53, 53, 54, 55, 55, 56, 57, 56, 57, 58, 58, 58,
Reunion,,,,,,,,,,,,,,,,,,,,,,
Rwanda,66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 67, 66, 66, 66, 66, 66, 66, 66, 65,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,, 75, 75, 75, 75, 75, 77, 79, 80, 81, 82, 84, 85, 86, 87, 89, 89, 89,
Senegal,61, 61, 62, 62, 62, 63, 64, 64, 65, 65, 66, 67, 67, 67, 68, 68, 69, 70, 70, 71, 72,
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,38, 40, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 48, 49, 50, 51, 51, 52, 53, 54, 55,
Somalia,,,, 19, 19, 19, 19, 19, 20, 21, 22, 22, 24, 24, 25, 26, 27, 28, 28, 29, 29,
South Africa,83, 83, 83, 83, 83, 84, 85, 85, 85, 86, 86, 87, 87, 88, 89, 89, 90, 90, 91, 91, 91,
South Sudan,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,
Sudan (former),65, 64, 64, 64, 63, 63, 63, 63, 62, 62, 62, 61, 61, 61, 60, 60, 59, 59, 59, 58, 58,
Swaziland,39, 39, 39, 39, 41, 43, 45, 46, 49, 50, 52, 54, 56, 57, 59, 61, 63, 65, 66, 68, 71,
Togo,49, 49, 50, 51, 51, 52, 52, 53, 54, 55, 55, 56, 56, 57, 57, 58, 58, 59, 60, 61, 61,
Uganda,43, 44, 46, 47, 49, 50, 52, 53, 55, 56, 58, 59, 61, 62, 63, 65, 66, 68, 69, 71, 72,
United Republic of Tanzania,55, 55, 55, 55, 55, 55, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 53, 53, 53, 53,
Zambia,49, 49, 49, 50, 51, 51, 51, 52, 53, 53, 54, 55, 55, 56, 57, 58, 58, 59, 60, 61, 61,
Zimbabwe,79, 79, 80, 80, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80, 80, 79, 80, 80, 80, 80,
Asia,71, 72, 73, 74, 76, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 89, 90,
Caucasus and Central Asia,85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 86, 86, 86, 86, 86, 87, 87, 87, 87, 87, 87,
Armenia,,, 90, 90, 90, 90, 90, 90, 91, 92, 92, 93, 94, 94, 95, 95, 96, 96, 97, 98, 98,
